200      
4 11 13 20 4 19 48
4 15 18 18 2 19 46
4 11 13 22 3 20 48
4 0 17 20 4 20 47
4 5 12 20 2 21 47
4 11 17 16 4 20 46
4 8 12 15 4 21 48
4 11 21 10 5 22 48
4 12 19 17 5 21 27
4 15 16 20 3 19 48
4 11 15 16 3 19 48
4 11 17 16 4 21 48
4 13 18 16 4 20 49
4 13 16 17 4 17 48
4 13 15 17 1 20 48
4 14 12 16 3 20 47
4 14 13 16 4 21 48
4 14 12 16 5 19 47
4 13 12 15 5 20 47
4 15 15 16 6 21 47
4 13 12 16 5 18 48
4 15 13 15 4 21 47
4 15 13 15 5 19 48
4 14 13 16 5 21 48
4 12 12 15 6 19 47
4 13 14 15 3 19 48
4 13 12 16 4 20 48
4 12 14 16 8 21 48
4 11 7 15 2 20 48
4 12 12 15 6 20 49
4 13 13 15 6 20 47
4 13 14 16 5 20 47
4 12 14 16 3 20 48
4 14 13 4 2 20 47
4 11 14 15 3 21 48
4 14 14 15 5 20 49
4 14 14 16 4 20 48
4 13 14 15 6 19 48
4 13 14 16 5 21 48
4 14 12 16 1 20 48
4 13 11 15 7 23 48
4 12 13 16 5 23 47
4 12 14 16 3 25 47
4 13 13 16 1 24 48
4 12 13 16 4 22 48
4 11 14 15 2 19 47
4 12 14 16 2 24 47
4 13 12 15 3 23 47
4 14 13 16 4 21 49
4 8 14 16 4 22 48
4 7 11 15 2 22 48
4 12 12 16 3 20 47
4 12 12 17 3 21 48
4 15 13 16 4 21 48
4 15 11 16 0 21 45
4 12 12 16 0 20 47
4 9 15 16 0 21 47
4 10 15 12 0 21 47
4 10 14 16 0 22 48
4 9 12 12 0 20 48
4 11 17 19 0 21 47
4 6 14 20 0 21 48
4 13 13 18 0 21 47
4 12 15 19 0 21 48
4 12 17 18 0 19 47
4 12 17 18 0 21 48
4 8 13 10 0 20 49
4 8 13 18 0 20 46
4 12 15 18 0 20 47
4 10 12 19 0 20 48
4 7 12 17 0 20 48
4 13 14 22 0 21 48
4 17 11 18 0 20 48
4 12 11 18 0 22 49
4 14 12 18 0 21 48
4 13 15 16 0 20 48
4 16 12 17 0 20 48
4 17 11 17 0 21 48
4 16 10 20 0 21 48
4 16 7 18 0 20 47
4 20 9 17 0 20 48
4 12 10 16 0 22 49
4 13 11 19 0 19 49
4 14 11 19 0 21 27
4 12 10 17 0 21 49
4 14 12 17 0 21 47
4 13 11 17 0 23 48
4 15 11 17 0 21 47
4 15 17 18 0 21 47
4 3 18 15 0 21 47
4 14 21 18 0 18 27
4 14 14 15 0 22 48
4 11 13 16 0 21 47
4 12 15 17 0 21 48
4 12 15 17 0 22 48
4 13 18 17 0 20 28
4 15 17 18 0 22 47
4 14 19 18 0 21 48
4 14 17 16 0 22 40
4 13 21 15 0 20 47
4 15 21 15 0 20 48
4 6 14 16 0 21 48
4 16 14 16 0 21 48
4 14 14 15 0 20 48
4 15 14 15 0 22 48
4 13 14 14 0 21 32
4 13 16 9 0 22 53
4 13 18 8 0 18 53
4 14 17 7 0 19 51
4 14 15 8 0 22 51
4 12 15 18 0 21 53
4 8 14 16 0 21 52
4 13 14 21 0 21 53
4 12 14 15 0 20 53
4 3 14 14 0 19 32
4 22 14 6 0 20 53
4 21 14 16 0 21 53
4 22 15 16 0 22 51
4 23 15 16 0 20 52
4 7 14 15 0 21 53
4 22 19 15 0 21 53
4 22 15 17 0 21 52
4 22 20 19 0 19 53
